text,noun_forms
tried again still not responding to calls and msgs he is not responding to calls and msgs,"[calls, msgs, calls, msgs]"
tried again still number shows busy tried again he still not responding to call,"[number, call]"
not intretsed he said,[]
he said he is out of station he said he will come after 2 weeks he said once he get some free time he will update to meet me he said he will look in future to invest as of now he is not intresteed,"[station, weeks, time, future]"
lead assigned to raj hegde by anshul ,[lead]
tried again still number shows off,[number]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he will visit our office and discuss he said he will come to our office on monday he visited the site today and had some queries and cleared the queries he said he will check and update he is looking for loan options he said he will update he said he cannot proceed without loan,"[office, office, site, today, queries, queries, loan, options, loan]"
tried again not responding to the call rnr ,[call]
he said he not yet decided anything he said if he is interested he will only call me,[anything]
not responding to calls and msgs,"[calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
number is switched off now,[number]
had a call and explained all the investment details and shared details through whtsapp he said he will update soon,"[call, investment, details, details]"
he said he is in opd so asked me to callback,[]
he said he not yet decided anything on the investment he said e he will pass this investmengt,"[anything, investment, investmengt]"
lead assigned to ramakrishna katta by anshul ,[lead]
he asked me to share details though whtsapp he said he is busy now he said he is not intrested,[details]
tried again he is disconnecting the call tried again he still not responding to call tried again now he disconnecting the call,"[call, call, call]"
lead assigned to ramakrishna katta by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
he said he is not intrested,[]
tried calling him again he is not responding to call tried again he is not responding to call,[]
tried again he is not responding to the call rnr ,[call]
tried again still number shows busy tried again he still not respondng to call rrn,[number]
tried again still number shows busy tried again still not responding to call busy,"[number, call]"
tried again still he is not responding to call number switched off,"[call, number]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
not responding to call rnr i tried again he still not responding to call rnr,[]
tried again still number shows off,[number]
he said he is not intrested,[]
he said he is not intrested,[]
his call got busy call discoonected tried reaching him out again he did not responded to call,"[call, call]"
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
she asked me to share details throough whtsapp she said she will update if there is anything she said she will update if interested in future,"[details, anything]"
not responded to msg yet,[msg]
i tried again he still not responding to call rnr i tried again he still not responding to call rnr ,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to raj hegde by anshul ,[lead]
tried multiple times he is not responding to calls and msgs tried again still not responding to calls and msgs,"[times, calls, calls]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he will update by next week so asked me to call me by next week tried calling him he is not responding to call so msgd through whtsapp he said he can not afford any investments now,"[week, week, investments]"
tried again still not responding to call so msgd through whtsapp tried again still she is not responding to calls and msgs,"[call, calls]"
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
tried again still he is not responding to call,[call]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he still not responded to calls and msgs,"[calls, msgs]"
tried again still not responding to calls and msgs he is not responding to calls and msgs,"[calls, msgs, calls, msgs]"
he is not responding to calls and msgs tried again he still not responding to calls and msgs,"[calls, calls]"
he asked me to share details through whtsapp,[details]
he is not responding to calls an dmsgs not responding to calls and msgs,"[calls, calls, msgs]"
lead assigned to ramakrishna katta by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
he said he not yet decided anything on the investment he said he is not intretsed now,"[anything, investment]"
tried again not responding to the call rnr ,[call]
tried again still number shows off,[number]
he asked me to share documents through whatsapp he said he will check and update at present he said he cannot proceed with the investment,"[documents, whatsapp, investment]"
lead assigned to ramakrishna katta by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
had a calla and shared details tghrough whtsapp he said he is not interested and i shared details of debenture ,"[calla, details, details]"
he said he is not intrested,[]
he said he will decide and inform he said he can go if there is loan option,"[loan, option]"
tried again still number shows busy tried again he still not responding to call rnr,[number]
tried again still not responding to call rnr ,[]
tried calling him still he is not responding to call tried calling him again still he is not responding to call,[]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
tried again he still not responding to call rnr tried again he is not responding to call,[call]
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
tried again he still not responding to call rnr tried again he still not responding to call rnr ,[]
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
he is not responding to calls an dmsgs,"[calls, dmsgs]"
lead assigned to raj hegde by anshul ,[lead]
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
tried again he still not responding to call rnr he said he is not interested,[]
he asked me to share details through whtsapp he said he will check and update he said he will update on the investment once he decides,"[details, investment]"
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
not yet decided he said he will confirm,[]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
she said she is not responding to calls and msgs tried again still she is not responding to calls and msgs,"[calls, calls]"
he is not responding to calls and msgs he said he not yet decided,"[calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
tried again still he did not picked up the call,[call]
lead assigned to raj hegde by anshul ,[lead]
she said she is not intrested,[]
lead assigned to raj hegde by anshul ,[lead]
had a call and explained shared details through whtsapp had a meeting in the office and had a good conversation,"[call, details, meeting, office, conversation]"
tried again he still not responding to call rnr tried again he still not responding to call rnr ,[]
lead assigned to ramakrishna katta by anshul ,[lead]
he said he will go through the docs and let us know not yet decided anything yet he saud,"[docs, anything]"
tried reaching him again still he did not picked up the call tried again but still he did not responded to call,"[call, call]"
he said he is still evaluating terms he said he is interested in debenture series,"[terms, debenture, series]"
lead assigned to ramakrishna katta by anshul ,[lead]
he said he didint enquired,[]
he said he not yet decided he said he is not intretsed,[]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
lead assigned to amit by anshul ,[lead]
he said he is not intretsed now,[]
he said he didint decided anything he is not responding to calls and msgs,"[anything, calls, msgs]"
tried again still not responding to calls and msgs,"[calls, msgs]"
he disconnected the call when i said about the investment,"[call, investment]"
lead assigned to raj hegde by anshul ,[lead]
tried again he still not responding to call tried again he still not responding to call,"[call, call]"
lead assigned to amit by anshul ,[lead]
still not responded to call,[call]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
he said if he is interested he will only call me he said he is not intrested,[]
lead assigned to raj hegde by anshul ,[lead]
tried again still not responding to call so msgd him through whtsapp tried again still not responding to calls and msgs,"[call, calls]"
tried again still not responding to call rnr he is not responding to calls and msgs,"[calls, msgs]"
he said he need more time to think and decide tried calling him he is not responding to call,[time]
had a call and shared details of investment through whtsapp along with the zoom link,"[call, details, investment, zoom, link]"
she is not responding to calls and msgs,"[calls, msgs]"
lead assigned to ramakrishna katta by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
tried again he still not responding to call rnr tried again he still not responding to call rnr ,[]
lead assigned to raj hegde by anshul ,[lead]
tried again he is not responding to call rnr,[]
he is not responding to calls and msgs,"[calls, msgs]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
msgd details through whtsapp he said he will check and revrt not responding to calls and msgs tried again he is not ressponding to calls and msgs,"[details, calls, calls, msgs]"
tried again still number shows busy he said he is busy so asked me to share details through whtsapp not yet decided he is not responding to calls and msgs,"[number, details, whtsapp, calls, msgs]"
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
lead assigned to raj hegde by anshul ,[lead]
explained and shared details through whtsapp he said he wants to associate as a channel patner he said he will meet today 19 03 2022 to discuss went to meet him and planning to do a even in rainbow gated appartments,"[details, channel, today, rainbow, appartments]"
lead assigned to raj hegde by anshul ,[lead]
tried again still not responding to call busy ,[call]
lead assigned to amit by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
tried again he still not responding to call,[call]
not responding to calls and msgs he said he is not intrsted,"[calls, msgs]"
had a call again and explained and shared details he said he will check and update,"[call, details]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
he said he is not intrested,[]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to amit by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
tried again still call is not getting connected,[call]
tried again still number shows busy so msgd him through whtsapp he asked me to share details through whtsapp,"[number, details]"
he said he will call me when he gets free he said he will meet us in the office on monday he said he is busy so cant come to office he said once he get free he said he will update he said he will pass this now,"[office, office]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he is not intrested,[]
he said he not yet decided anything once he decides he said he will let me know not responding to calls and msgs,"[anything, calls, msgs]"
tried again he is not responding to call,[call]
he said he will update once he decides he is not responding to calls and msgs tried again still not responding to calls and msgs,"[calls, calls]"
tried again he still not responding to call rnr tried again he still not responding to call busy ,[]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
he said he will meet me in the office mostly on monday he is not responding to calls and msgs,"[office, calls, msgs]"
had a call and shared details of investment through whtsapp he said he not yet decided anything yet he said he will pass this investment,"[call, details, investment, anything, investment]"
he asked me to share site location and office location he said he will meet in the office he said he is mumbai ryt now he said he will update by this saturday not responding to calls and msgs tried again not responding to calls and msgs,"[site, location, office, location, office, calls, calls]"
not responding to calls and msgs he said he is not intrested,"[calls, msgs]"
he said he is not interested now,[]
lead assigned to venkat ghanusala by anshul he said he is not intrested,[lead]
he said he will call and update me once he deicded he said he is busy he said he will call me once he get free he is not responding to calls and msgs,"[calls, msgs]"
he said he will update by 1st of next month he said he is not intrested,"[1st, month]"
tried again still not responding to calls and msgs,"[calls, msgs]"
had a call and explained and shared details through whtsapp he said he will update he said he not yet decided anything he is not responding to calls and msgs,"[call, details, anything, calls, msgs]"
he sais he is not intrested,[]
invested in debentures an opportunity is already existing where the status is marked as won ,"[debentures, opportunity, status]"
he said he is not intrested as of now,[]
he said he is not interested in any investments,[investments]
not responding to calls tried multiple times,"[calls, times]"
tried again still call is not getting connected,[call]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to raj hegde by anshul ,[lead]
he said he is thinking he said he will let me know he said he not yet decided anything he is not responding to calls and msgs,"[anything, calls, msgs]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to raj hegde by anshul ,[lead]
he is disconnecting the call,[call]
tried again still he is not responding to call tried again still he is not responding to call,"[call, call]"
tried again this time number shows switched off,"[time, number, shows]"
he said he is not intrested,[]
he said he ddint enquired any investments,[investments]
still number shows busy tried again number still shows busy,"[number, number]"
number switched off,[number]
lead assigned to raj hegde by anshul ,[lead]
he said he is not intretsed,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
tried again still not responding to calls and msgs he asked me to share details through whtsapp and she said he did not decided anything he is not responding to calls and msgs,"[calls, msgs, details, anything, calls, msgs]"
tried again still he is not responding to call rnr ,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
not responding to calls and msgs,"[calls, msgs]"
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
she is not responding to calls and msgs tried again she is not responding to calls and msgs,"[calls, calls]"
he is not responding to calls and msgs tried again he still not responding to calls and msgs,"[calls, calls]"
he said he is not intretsed,[]
tried again this time his phn is switched off had a call and shared details through whatsapp he said he will check and revert back tried calling him he is not responding to calls and msgs,"[time, phn, call, details, calls, msgs]"
he said he will update soon he said he is not intrested,[]
tried calling him again but he did not responded to call tried again still he is not responding to call,"[call, call]"
not yet decided he said he is not intretsed,[]
not answering to call rnr tried again he still not responding to call,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again stil not responding to call busy ,[call]
tried again he is not responding to call rnr tried again he is not responding to call rnr ,[]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
had a call and explained and shared details of investment through whtsapp he said he not yet gone through the documents yet he said he will let me know soon he said he not yet decided anything number switched off so msgd him through whtsapp he is not responding to msgs too and his number is switched off,"[call, details, investment, documents, anything, number, number]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
number is busy disconnected the call some one picked up and said she is not therre,"[number, call, one]"
he said he need more time to think about this,[time]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
had a call explained and shared details through whtsapp not responding to calls and msgs tried again he still not responding to calls and msgs,"[call, details, calls, calls]"
had a call and shared details of investment through whtsapp,"[call, details, investment]"
he is speaking in kanada said he dont know english,[]
incoming calls not available number still shows off,"[calls, number]"
he said he didnt enquired any investmnets,[investmnets]
he said he not yet decided he said he is not intretsed,[]
he said he not yet decided anything he said he is not intrested,[anything]
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again still not responding to call rnr ,[]
had a call and explained and shared details through whtsapp he said he is very busy now he cannot decide anything he said,"[call, details, anything]"
tried again she still not responding to call tried again he is still not responding to call,"[call, call]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again still number shows off tried again still number shows off ,"[number, number]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again still not responding to call swicth off,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again he is still not responding to call tried again he is still not responding to call,"[call, call]"
tried again he still not responding to call rnr ,[]
he is not responding to calls and msgs tried again he still not responding to calls and msgs,"[calls, calls]"
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
keeps disconnecting the call lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[call, lead, lead]"
client just went through the details does not have intent to invest client just went through the details does not have intent to invest lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[details, intent, client, details, intent, lead, lead]"
he said he is not intrested,[]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
tried again still number shows busy had a call and explained shared details through whatsapp he said by next week he will plan to come to the office he met with me in the office had a good conversation need to share documents,"[number, call, details, whatsapp, week, office, office, conversation, documents]"
he said he will check and upadte not responding to calls and msgs,"[calls, msgs]"
he said he is busy so asked me to share details through whtsapp,[details]
he disconnected the call,[call]
tried again still not respond to call so msgd through whtsapp had a call he said he know aswin sir he said he will talk with aswin sir and get back to us he said he will go through the details and let us know,"[call, call, details]"
he said he is in meeting so asked me to share details through whtsapp he said he is not intrested,"[meeting, details]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to amit by anshul ,[lead]
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
tried again he is not responding to call so msgd him through whtsapp he is not responding to calls and msgs tried again he is not responding to call,"[call, calls, call]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he not yet decided he is not responding to calls and msgs,"[calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
tried again not responding to calls and msgs,"[calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
tried twice he is not responding to call,[call]
he said he is not intrested if anyone is intretsed he said he will let me know,[anyone]
he said he is not intrested,[]
tried again still number shows busy tried again this time number is not getting connected,"[number, time, number]"
tried again still not responding to call tried again still he is not responding to call,"[call, call]"
tried again he still not responding to call rnr tried again he still not responding to call rnr ,[]
had a call he asked me to share details through whtsapp,"[call, details]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
he said he cannot afford 26 lakhs,[lakhs]
he said he will update if there is anything,[anything]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he is busy so he said he will call me next week he is not responding to calls and smgs tried again still he is not responding to calls and msgs,"[week, calls, calls]"
tried again still not responding to call so msgd him through whtsapp he is still not responding to calls and msgs,"[call, calls]"
had a call explained and shared details through whtsapp she said she not yet decided anything to go she said if she is interested she will only call me,"[call, details, anything]"
he is not responding to calls and msgs tried again he still not responding to calls and msgs,"[calls, calls]"
he is not responding to calls and msgs tried again still not responding to calls and msgs,"[calls, calls]"
tried again he still not responding to call,[call]
he said he didint enquired,[]
he said he is looking for bank loans to invest,"[bank, loans]"
he said he is not intrested,[]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
lead assigned to ramakrishna katta by anshul ,[lead]
tried again still not responding to call rnr had a call he said he is busy so asked me to share details through whtsapp he said he cannot afford amount in one shot,"[call, call, details, amount, shot]"
lead assigned to raj hegde by anshul ,[lead]
he is not responding to calls and msgs tried again he still not responding to calls and msgs,"[calls, calls]"
lead assigned to ramakrishna katta by anshul ,[lead]
lead assigned to ramakrishna katta by anshul ,[lead]
he said he is not interested,[]
lead assigned to ramakrishna katta by anshul ,[lead]
tried again still not responding to call busy tried again still not responding to call rnr ,[]
he said he not yet decided anything yet,[anything]
had a call he asked me to share details through whtsapp he said he not yet decided he said he is not intrested,"[call, details]"
he said if interested he will let me know he said he is not intrested,[]
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
he said he is interested in debenture option once it live need to update,"[debenture, option]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again call is not getting connected had a call he said me to share details through whtsapp he said he will let me know once he decides not responding to call so msgd him through whtsapp tried again still not responding to calls and msgs,"[call, call, details, call, calls]"
he is not responding to calls and msgs,"[calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
not responding to calls and msgs tried again he still not responding to calls and msgs tried again he still not responding to calls and msgs ,"[calls, calls, calls]"
he said he not yet decided he said he will update me if interested he said he is not interested,[]
he said he will meet me in the office on saturday,[office]
she is not responding to calls and msgs she said she is outside she said she will ping me she said she is not intretsed,"[calls, msgs]"
tried again still he is not responding to call tried again still he is not responding to call,"[call, call]"
not responding to msgs and calls,[calls]
she said she is not intrested,[]
she said she will discuss with her husband and ket us know she said she will discuss with her husband and ket us know she said she will discuss with her husband and ket us know she said as of now he is not intrested,"[husband, husband, husband]"
tried again still not responding to call so msgd him through whtsapp still he is not responding to calls and msgs he picked up the call and said wrong number,"[call, calls, call, number]"
he said he is not interested in any investments,[investments]
he said he is not intrested,[]
had a call explained and shared details she said one day she will visit our office to discuss she is not responding to calls and msgs tried again still not responding to calls and msgs,"[call, details, day, office, calls, calls, msgs]"
still not received any msg from his side,"[msg, side]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
had a call and shared details of investment through whtsapp he said he is not intretsed,"[call, details, investment]"
still number is not getting connected,[number]
lead assigned to raj hegde by anshul ,[lead]
he said he is driving so asked me to share details through whtsapp he said he will get back to us not responding to calls and msgs tried again still he is not responding to call,"[details, calls, call]"
he said by this weekend he will upadte not responding to calls and msgs tried again still not responding to calls and msgs,"[weekend, calls, calls]"
had a call and explained details and shred details through whtsapp he said he not yet decided he said if he is intretsed he will only call me,"[call, details, details]"
she said he didint enquired,[]
he said he not yet decided,[]
tried again still not responding to call so msgd him through whtsapp he is not responding to calls and msgs,"[call, calls]"
he is not responding to calls and msgs tried again he still not responding to calls and msgs,"[calls, calls]"
he said he didint enquired,[]
lead assigned to preeti srinivasan by anshul lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he is not intrested,[]
not responding to call rnr tried again he still not responding to call,"[call, call]"
he said he not yet gone though the details he sad he will go through and let us know he said he will give me a call once he get free not responding to calls and msgs tried again he is still not responding to calls and msgs,"[details, call, calls, calls]"
he said he is busy so asked me to share details through whtsapp he said he will call me on friday he didint called me so i tried to call him he didint responded so msgd him through whtsapp he said he not yet decided he said he will let me know once he finalise,[details]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he disconnected the call when i said about the investment,"[call, investment]"
still not responded to msgs,[]
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
lead assigned to amit by anshul ,[lead]
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
he said he not yet decided he said he will update once he decide he is not responding to calls and msgs,"[calls, msgs]"
multiple attempts made no response from the client hence keeping a followup on 4th of april lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[attempts, response, client, followup, lead, lead]"
lead assigned to amit by anshul ,[lead]
he said he will meet up in the office had a meeting in the office client said he will revert once he confirm with his ca he said he will update me by this week he is not responding to calls and msgs,"[office, meeting, office, client, week, calls, msgs]"
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
had a call again and explained details again he said he will check and update he said he is checking for loan options,"[call, details, loan, options]"
tried again he still not responding to call this time number shows off,"[time, number]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to amit by anshul ,[lead]
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he need some time he said he will get back next week he said he not yet decided anything he is not responding to calls and msgs,"[time, week, anything, calls, msgs]"
tried again he still not responding to calls and msgs,"[calls, msgs]"
he said he not yet decided anything yet,[anything]
he said he is not intrested,[]
he said he is not intrested,[]
tried reaching him out agin but he did not respond to call tried again but he did not picked up the call tried again still he didint responded to call,"[call, call, call]"
she is not responding to calls and msgs,"[calls, msgs]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he not yet decided he said he will update once he deicde he is not responding to calls and msgs,"[calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
tried again still he is not responding to call tried again he is not responding to call,[call]
he said he not yet decided anything he said he is not intrested,[anything]
he said if there is any update he will only upodate he is not responding to calls and msgs,"[update, calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he will call me if intrested he said as of now he is not intretsed,[]
lead assigned to ramakrishna katta by anshul ,[lead]
he said he cannot invest now he need atleast 2 3 month of time,"[month, time]"
lead assigned to raj hegde by anshul ,[lead]
had a call and explained and shared details of investment through whtsapp he said he not yet decided anything he said he take time to decide he is not responding to calls and msgs,"[call, details, investment, anything, time, calls, msgs]"
not responding to call rnr tried again not responding to call rnr,[]
msgd through whtsapp shared details through whtsapp he said he will check and update he said he is evaluating once he decide he said he will update,[details]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to amit by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
had a call explained and shared details through whtsapp he said he will update once he decides anything he said he will not yet decided,"[call, details, anything]"
he said if he is intrested he said he will call me,[]
tried again still he didint responded to call,[call]
explained and shared details through whatsapp she said she will check and get back she said she is not intrested,"[details, whatsapp]"
tried again still number shows busy tried again he is disconnecting the call,"[number, call]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he is not responding to calls and msgs he said he is not intrested,"[calls, msgs]"
he said he is not intretsed,[]
lead assigned to raj hegde by anshul ,[lead]
tried again he still not responding to call rnr tried again he still not responding to call rnr ,[]
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again stillnot responding to call rnr tried again stillnot responding to call rnr ,[]
call disconnecting,"[call, disconnecting]"
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
tried again still not responding to call rnr not responding to calls and msgs,"[call, calls, msgs]"
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
tried again still not responding to call busy ,[call]
she said she didint enquired,[]
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
not responding to call so msgd him through whtsapp he said he cannot afford that much of investment,"[call, investment]"
he said he is busy so asked me to share details through whtsapp he is not responding to calls and msgs tried again he still not responding to calls and msgs,"[details, calls, calls]"
tried again he is not responding to the call rnr ,[call]
lead assigned to amit by anshul ,[lead]
number still shows off,[number]
he said the person who enquired about this it seems he is saying that he not intrested,[person]
explained and shared details of investment through whtsapp not responded to call msgd him through whtsapp he said he not yet decided anything had a call with his friend cleared queries he said he will think and let us know he said he is not intrested he said roi is less,"[details, investment, anything, call, friend, queries]"
switch off had a call and explained and shared details through whtsapp he said he will meet up in the office or asked us to meet up in his office to discuss had a meeting in the office he said he will go through the docs and let us know he said he need little time to think and take decision he said he is not intested he said the returns are very low,"[call, details, office, office, meeting, office, docs, time, decision, returns]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he is not intreted,[]
tried again not responding to the call rnr ,[call]
he is not responding to calls and msgs,"[calls, msgs]"
explained and shared details of investment through whtsapp he said he will update me once he decide,"[details, investment]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
he said he will come back if intrested,[]
