text,noun_forms
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul ,"[lead, lead]"
tried again he is still not responding to calls and msgs tried again he still not responding to calls and msgs,"[calls, calls]"
tried again to reach him out but he is not responding,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again he is not responding to call,[call]
call is not getting connected,[call]
tried again still not responding to call rnr tried again still not responding to call so msgd him through whtsapp,"[call, call]"
he said he not yet deicded he met me in the office he said he will update once he decide he said he is unable to arrange funds so he can not proceed,"[office, funds]"
she is not responding to calls and msgs she is not responding to calls and msgs,"[calls, msgs, calls, msgs]"
tried again he still not responding to call rnr tried again he still not responding to call busy ,[]
tried again he still not responding to call rnr tried again he still not responding to call rnr ,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again still not responding to calls and msgs,"[calls, msgs]"
he is not responding to calls and msgs tried again still not responding to calls and msgs,"[calls, calls]"
he said he is not intrested,[]
lead assigned to amit by anshul ,[lead]
tried again he still not responding to call rnr tried again he still not responding to call rnr ,[]
lead assigned to raj hegde by anshul ,[lead]
tried calling him again he didint responded to call tried calling him again he didint responded to call,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he disconnected the call when i said about the investment,"[call, investment]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
she is speaking in tamil and she dont know what is investment and all,[investment]
he said he is not intrested,[]
had a call explained and shared details through whtsapp he said he will update once he decides he is not responding to calls and msgs,"[call, details, calls, msgs]"
tried again he is not responding to call tried again still number shows busy,[number]
tried again still not responding to calls and msgs,"[calls, msgs]"
he said he need some more time to think he said he will update me if intrested,[time]
lead assigned to raj hegde by anshul ,[lead]
he said he is not intrested,[]
tried again number still shows switched off,[number]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again still he is not responding to call rnr ,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
had a call again and explained and shared details through whtsapp not responding to calls and msgs he said he will check and upadte he said he still not decided anything yet he said he is not intretsed,"[call, details, calls, anything]"
he said he is not responding to calls and msgs he said he is not intrested,"[calls, msgs]"
he asked me to come to his place at manikonda to discuss on the project he said he will update soon he said he not decided anything he said he decide and let me know he said he will update by tomarrow,"[place, project, anything]"
he said he is not yet decided he said he cannot invest as of now,[]
not responding to calls and msgs had a call again and explained the details he said he will check and update he said he need some more time to decide he said he not yet decided he want some time to decide he said he is not intretsed now,"[calls, call, details, time, time]"
he said he not yet decided anything yet he is not responding to calls and msgs tried again he is not responding to calls and msgs,"[anything, calls, calls]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again still not responding to call rnr she asked me to share details through whtsapp had a call with her husband explained details of debenture he said he will check and update she said she will give me a call once she decides,"[details, call, husband, details, debenture, call]"
msgd details through whtsapp he said he will update once he decides he said he need more time he is evaluating other options as well,"[details, time, options]"
he said he didint enquired,[]
he said he is not intrested,[]
lead assigned to raj hegde by anshul ,[lead]
he said he is not intrested lead assigned to raj hegde by anshul ,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he will check and update if he wish to continue he said he is interested he said he will only call me,[]
he visited the office he said he will update on the investment in couple of days,"[office, investment, couple, days]"
he said he is not intrested in purva and asked me to share details of landing he said he is still thinking he is not responding to calls and msgs,"[details, calls, msgs]"
he said he is not intresd,[]
had a call and explained and shared details through whtsapp he said he need some more time to discuss he said if he is interested he will only update,"[call, details, time]"
lead assigned to raj hegde by anshul ,[lead]
had a call and explained and shared details of investment through whtsapp he said he not yet decided he said he is not intrested,"[call, details, investment]"
tried again he still not responding to call ,[call]
tried again still not responding to call busy tried again still not responding to call busy ,[]
lead assigned to amit by anshul ,[lead]
junk lead lead assigned to ramakrishna katta by anshul ,"[junk, lead, lead]"
lead assigned to amit by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to raj hegde by anshul ,[lead]
he said he not yet decided he said he will update once he decides he said he is not intrested,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to amit by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
had a call explained and shared details through whtsapp she said she will check the details and update she said if she is interested she will get back to me,"[call, details, details]"
she is not responding to calls and msgs,"[calls, msgs]"
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
he is not responding to calls and msgs,"[calls, msgs]"
he said he didint enquired,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again still number shows off,[number]
he said he will visit our office one day to discuss he said he will plan and meet one day at present he said he is busy he is not responding to calls and msgs,"[office, day, day, calls, msgs]"
tried again still not responding to call rnr not responding to calls and msgs,"[call, calls, msgs]"
he said he is not intrested,[]
so msgd him through whtsapp he asked me to share details through whtsapp,[details]
he said he will update me once he decides he said he is not intrested,[]
tried again still his phn is off,[phn]
lead assigned to ramakrishna katta by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
he said he will update once he decides not responding to calls and msgs,"[calls, msgs]"
he is speaking in kanada,[]
tried again still he is not responding to call tried again he still not responding to calls tried again he is not responding to calls and msgs,"[call, calls, calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
not responding to calls and msgs he is not responding to calls and msgs not responding to calls and msgs,"[calls, msgs, calls, calls, msgs]"
number not in service number not in service,"[number, service, number, service]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to amit by anshul ,[lead]
he said he is in temple so asked me to share details through whtsapp he said he not yet decided anything yet,"[details, anything]"
not responding to calls and msgs tried again he is not responding to calls and masgs,"[calls, calls, masgs]"
tried again still not responding to call rnr ,[]
lead assigned to raj hegde by anshul ,[lead]
had a call and explained all the details and shared details through whtsapp he said he not yet decided he is not responding to calls and msgs,"[call, details, details, calls]"
he said he is not intresed,[]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
tried again he still not responding to call rnr tried again still number shows busy,[number]
not responding to calls and msgs,"[calls, msgs]"
lead assigned to ramakrishna katta by anshul ,[lead]
he is not responding to calls and msgs tried again still he is not responding to calls and msgs,"[calls, calls]"
she said she is so busy with her schedule that she said she will take time and check she is not responding to calls and msgs she said she will give me a call back once she gets free,"[schedule, time, calls, msgs, call]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
he said he is travelling he is said he will only give me a call once he get free he said he is not intrested,[call]
lead assigned to raj hegde by anshul ,[lead]
he said he is not intresdd,[]
lead assigned to raj hegde by anshul ,[lead]
he said he will meet once he get free he is not responding to calls and msgs he said he is not well so unable to meet once he recover he said he will give me a call,"[calls, msgs, call]"
he said he is checking for options he said he will let me know had a call again and explained details he said he is new to this one he will understand and get back had a call he has some queries on land valuation so i forwarded number to manoj sir he said he will part this investment option if intretsed he said he will ping me,"[options, call, details, one, call, queries, land, valuation, number, investment, option]"
he didint responded to msg yet he is not responding,[msg]
he is not responding to calls and msgs,"[calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
she said she is not intretsed,[]
lead assigned to ramakrishna katta by anshul ,[lead]
he said he will give me a update in the month of august,"[update, month]"
lead assigned to raj hegde by anshul ,[lead]
tried again he is not responding to call not responding to calls,"[call, calls]"
tried again still not responding to call busy had a call he said me to share details through whtsapp he said he is busy once he get free he will call me back tried calling him but he is not responding to calls and msgs,"[call, details, calls, msgs]"
he still not responded to msg,[msg]
lead assigned to raj hegde by anshul ,[lead]
tried again still not responding to calls and msgs tried again still not responding to calls and msgs,"[calls, calls]"
he said he didint enquired,[]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul ,[lead]
tried again he still not responding to call rnr tried again he still not responding to call rnr ,[]
he is not responding to calls and msgs,"[calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again still number shows off tried again still number shows off,"[number, number]"
lead assigned to ramakrishna katta by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
he said he will update once he decides he is not responding to calls and msgs,"[calls, msgs]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul ,[lead]
still number doesnt have incoming services ,"[number, services]"
lead assigned to ramakrishna katta by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
not yet decided he said he need time he said as of now he is not intresed,[time]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
not yet decided not responded to calls and msgs,"[calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
he said he is not looking for long term however shared debenture details also he said he is not intretsed,"[term, debenture, details]"
not yet decided anything he said he said he will leave this option,"[anything, option]"
he said he already invested in somewhere else,[]
lead assigned to amit by anshul ,[lead]
he said he dont know any investments,[investments]
he said he is busy so asked me to share details through whtsapp he said he will update me if he decides he is not responding to calls and msgs,"[details, calls, msgs]"
lead assigned to amit by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
had a call shared details through whtsapp he said he will check and update he is not responding to calls and msgs tried again he still not responding to calls and msgs,"[call, details, calls, calls]"
he said he not yet decided anything on the investment he said he is looking for other investment options as well he said he will check and update he said he is not moving forward on the investment,"[anything, investment, investment, options, investment]"
number currenlty busy,[number]
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he is not responding to call,[]
tried again this time number shows busy ,"[time, number]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he didint enquired,[]
he said he is not intretsed,[]
still not responding to msgs and calls,[calls]
tried again still not responding to call rnr ,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he didint enquired,[]
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul ,"[lead, lead]"
she said she is not intrested,[]
he said he will check and update once he decides he is not responding to calls and msgs,"[calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to raj hegde by anshul ,[lead]
he said he will check in a week and get back to us had a call again he asked about trustee document so shared details he said he will check and update he said he want to talk with someone who he is in banglore shared number to uppender sir client said he will meet in banglore he said he will inform me if he is intretsed,"[week, call, trustee, document, details, someone, number, client]"
tried again still not responding to call rnr tried again still not responding to calls and msgs,"[call, calls, msgs]"
tried again still call is not getting connectted,[call]
he said he will update me once he decides he said he will give me a call once he deicdes tried calling him he is not responding to calls and msgs he said as of now he is not intrested,"[call, calls, msgs]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
not responding to call so msgd him through whtsapp not responding to calls and msgs,"[call, calls, msgs]"
he said he not yet decided anythig so asked me to wait,[anythig]
he is not responding to calls and msgs tried again still not responding to calls and msgs,"[calls, calls]"
he said he not yet decided anything he is not responding to calls and msgs tried again he still not responding to calls and msgs,"[anything, calls, calls]"
he said he found alternate option not intrested,[option]
he said he is not intrested,[]
had a meeting in the office he said he will update on monday he met me in the office he said he will discuss with the family and let us know,"[meeting, office, office, family]"
tried again he did not responded to call he said he is a property consultant so asked me to share details through whtsapp he said he is not intretsed as of now,"[call, property, consultant, details]"
tried again he still not responded to call tried again he still not responding to call,"[call, call]"
still not responded to msgs,[]
she said she is not intrested,[]
tried again he still not responding to call tried again he still not responding to call,"[call, call]"
lead assigned to amit by anshul ,[lead]
not yet received response from his side,"[response, side]"
tried again still not responding to calls and msgs tried again still not responding to calls and msgs ,"[calls, calls]"
he said he will update whether he invest or not,[]
he said he will not proceed at preseent,[]
he said he not yet gone through the details,[details]
tried again still not responding to call rnr he said he is not enquired,[]
tried again stillnot responding to call rnr had a call explained and shared details through whtsapp he said he not yet gone though the documents he said he will check and update he said he will inform me if he intretseted,"[call, call, details, documents]"
he said he not yet deicded not responding to calls and msgs,"[calls, msgs]"
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
he said doing investment at present its not possible for him,"[investment, present]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he will check with his ca and let us know about the investment he said he is not able to invest now,[investment]
tried again still not responding to call busy tried again still not responding to call rnr ,[]
lead assigned to raj hegde by anshul ,[lead]
he is not responding to calls and msgs tried again he is not responding to calls and msgs,"[calls, calls]"
number doesnt exist,[number]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he will upadte me once he decides he is not responding to calls and msgs tried again he is not responding to calls and msgs,"[calls, calls]"
tried again still he is not responding to calls he said he did not enquired anything about the investment,"[calls, anything, investment]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to amit by anshul ,[lead]
he said he is not intrested,[]
had a call she asked me to share details through whtsapp she said she will connect next week she said her health is not good she said she is in quarantine so cant make any decisions on the investment,"[call, details, week, health, quarantine, decisions, investment]"
lead assigned to raj hegde by anshul ,[lead]
tried again still not responded to call rnr tried again still not responded to call rnr ,[]
lead assigned to ramakrishna katta by anshul ,[lead]
he said he will call me on 25th of month,"[25th, month]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to amit by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
some one picked up the call and talking in different language,"[one, call, language]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again still call is not getting connected,[call]
he said he need more time to think tried calling him he is not responding to call he is not responding to calls and msgs,"[time, calls, msgs]"
he said he will update me once he decides he said he is not intretsed to proceed further,[]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to venkat ghanusala by anshul number switched off number still shows off,"[lead, number, number]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to amit by anshul ,[lead]
not responding to calls and msgs he said he will meet us in the office by monday or tuesday he said he will inform if he is intrested,"[calls, msgs, office]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he is not responding to call so msgd through whtsapp tried again still not responding to calls and msgs,"[call, calls]"
no response after multiple attempts to reach hence marking the lead as inactive lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[response, attempts, lead, lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to amit by anshul ,[lead]
